Index,main_speaker,title,details,posted,url,
1,Gaya Herrington, Will the end of economic growth come by design — or disaster?,"What if solving poverty, caring for nature and fostering well-being were the ultimate goals of the economy, instead of growth for its own sake? Environmentalist and economist Gaya Herrington proposes a shift in thinking from ""never enough"" to ""enough for each,"" asking us to contemplate whether the end of exponential growth on a finite planet will come by design — or disaster.
sustainability,economics,health care,humanity,money,Countdown",Posted Oct 2024,https://www.ted.com/talks/gaya_herrington_will_the_end_of_economic_growth_come_by_design_or_disaster?utm_campaign=tedspread&utm_medium=referral&utm_source=tedcomshare,
2,Jon M. Chu,Why creativity thrives on challenges,"Filmmaker Jon M. Chu has enjoyed an incredible run of success, directing films like ""Crazy Rich Asians,"" ""In the Heights"" and the highly anticipated adaptation of ""Wicked"" in theaters soon. But he wasn't always sure he'd make it big. In a wide-ranging conversation, Chu gives his thoughts on nurturing creativity, embracing failure and finding inspiration in your upbringing — as well as some key leadership lessons from his new memoir, ""Viewfinder."" 
culture,creativity,art,storytelling,film,personal growth,family",Posted Oct 2024,https://www.ted.com/talks/jon_m_chu_why_creativity_thrives_on_challenges?utm_campaign=tedspread&utm_medium=referral&utm_source=tedcomshare,
3,Nicky Trevorrow,How to make your cat happier — in 3 minutes,"There's a simple way to increase your cat's happiness, says animal behaviorist Nicky Trevorrow. She explains the importance of play for our feline friends — and for basically any species (looking at you, dog lovers!) — and shares specific, actionable strategies to boost your cat's mental and physical health.
science,food,health,animals,evolution,biology,happiness,emotions",Posted Sep 2024,https://www.ted.com/talks/nicky_trevorrow_how_to_make_your_cat_happier_in_3_minutes?utm_campaign=tedspread&utm_medium=referral&utm_source=tedcomshare,
4,Scott Hershberger,How did the Milky Way get its shape?,"Thirteen billion years ago, the gas and dust particles that eventually became our Milky Way were whizzing around in every direction. Despite the wild motion of its parts, the galaxy as a whole was rotating about an axis. So why did the Milky Way, like most galaxies, become flat, and not spherical like stars and planets? Scott Hershberger explores the ever-evolving structure of our galaxy. 
science,education,astronomy,universe,physics,Planets,space,TED-Ed,solar system,animation",Posted Sep 2024,https://www.ted.com/talks/scott_hershberger_how_did_the_milky_way_get_its_shape?utm_campaign=tedspread&utm_medium=referral&utm_source=tedcomshare,
5,Noah Charney,The tragedy of the one guy who was right about the Trojan Horse,"Laocoön, a seer and priest, was deeply suspicious of the enormous wooden horse that the Greeks left in Troy and cautioned the Trojans not to accept this strange offering. But their fate was already sealed — the gods granted the Greeks victory and punished the priest for threatening their success. Noah Charney explores how Laocoön’s tragic tale inspired countless artists across the ancient world. 
education,art,history,TED-Ed,animation",Posted Aug 2024,https://www.ted.com/talks/noah_charney_the_tragedy_of_the_one_guy_who_was_right_about_the_trojan_horse?utm_campaign=tedspread&utm_medium=referral&utm_source=tedcomshare,
6,Agnes Kalibata, How to empower farmers — and nourish the planet,"Africa's smallholder farmers feed millions of people and uplift economies, yet they often lack the basic resources needed to thrive, says agricultural scientist and policymaker Agnes Kalibata. She outlines how to empower these farmers with better tools, climate resilience strategies and market access — so they can continue to nourish humanity while caring for the planet.",Posted Aug 2024,https://www.ted.com/talks/agnes_kalibata_how_to_empower_farmers_and_nourish_the_planet?utm_campaign=tedspread&utm_medium=referral&utm_source=tedcomshare,
7,Scott Galloway,Why young people are worse off than their parents — and what to do about it,"In this special conversation, NYU marketing professor Scott Galloway and head of TED Chris Anderson dive deeper into Galloway’s explosive recent TED Talk, which has been seen by millions and ignited conversations about what he calls “the great intergenerational theft,” or how older generations are stealing prosperity from the young. With razor-sharp insights on the skyrocketing cost of housing, the mental health crisis created by social media, reckless government spending and more, Galloway explores bold solutions to the most pressing issues facing young people — and delivers a few spectacular rants along the way. If you’ve already seen Galloway's TED Talk, skip ahead to 20:25. 
politics,technology,business,economics,future,United States,society,government,youth,policy,kids,TED Membership",Posted Jul 2024,https://www.ted.com/talks/scott_galloway_why_young_people_are_worse_off_than_their_parents_and_what_to_do_about_it?utm_campaign=tedspread&utm_medium=referral&utm_source=tedcomshare,
8,Hartmut Neven,Quantum computers aren't what you think — they're cooler,"Quantum computers obtain superpowers by tapping into parallel universes, says Hartmut Neven, the founder and lead of Google Quantum AI. He explains how this emerging tech can far surpass traditional computers by relying on quantum physics rather than binary logic, and shares a roadmap to build the ultimate quantum computer. Learn how this fascinating and powerful tech can help humanity take on seemingly unsolvable problems in medicine, sustainable energy, AI, neuroscience and more.
science,sustainability,technology,computers,innovation,medicine,AI,neuroscience,quantum",Posted Jul 2024,https://www.ted.com/talks/hartmut_neven_quantum_computers_aren_t_what_you_think_they_re_cooler?utm_campaign=tedspread&utm_medium=referral&utm_source=tedcomshare,
9,"Alex Luebke, Vivek Kumbhari",How you could see inside your body — with a micro-robot,"Would you swallow a micro-robot? In a gutsy demo, physician Vivek Kumbhari navigates Pillbot, a wireless, disposable robot swallowed onstage by engineer Alex Luebke, modeling how this technology can swiftly provide direct visualization of internal organs. Learn more about how micro-robots could move us past the age of invasive endoscopies and open up doors to more comfortable, affordable medical imaging.
science,technology,robots,health,health care,medicine,medical research,medical imaging",Posted Jun 2024,https://www.ted.com/talks/alex_luebke_vivek_kumbhari_how_you_could_see_inside_your_body_with_a_micro_robot?utm_campaign=tedspread&utm_medium=referral&utm_source=tedcomshare,
10,David Friedberg,A scientific breakthrough that could transform how we produce food,"Agriculture fundamentally changed the way humans live — but at a cost, using up huge tracts of land and wreaking havoc on the environment, even as millions still go hungry. Entrepreneur and investor David Friedberg paints a picture of the evolution of agriculture and introduces a scientific breakthrough — ""boosted breeding"" — that might just transform how the world produces food.
climate change,environment,global issues,science,sustainability,technology,invention,food,health,animals,agriculture,farming",Posted Jun 2024,https://www.ted.com/talks/david_friedberg_a_scientific_breakthrough_that_could_transform_how_we_produce_food?utm_campaign=tedspread&utm_medium=referral&utm_source=tedcomshare,
